Empresa,Promedio_Volumen,sum_Open_Close
A,3420246.638869863,29.5175628662107
AAL,14553481.677654013,-115.47009849548346
AAP,1173897.500932488,-36.06980609893841
AAPL,411229530.59931505,107.92133897542959
ABBV,7734085.141968106,111.29018402099626
ABC,2837734.9657534244,97.44965600967355
ABMD,344291.77226353105,107.16688346862773
ABT,9728655.080993151,70.97471141815126
ACN,2908798.825903504,379.78046798706
ADBE,5298145.839041096,73.27047348022545
ADI,3336958.184931507,-31.313842773437074
ADM,3855537.6979452055,-11.594599246978827
ADP,2543811.7796232877,238.91385650634643
ADSK,2800013.4589041094,225.30178213119518
AEE,1300056.6952054794,49.20688056945821
AEP,2577806.25,33.34132766723643
AES,4986065.873287671,-48.02688699960717
AFL,4863489.77739726,22.882117271423244
AIG,5701780.231849315,-2014.2004661560054
AIZ,802047.5586952005,58.20991802215595
AJG,723623.6815068494,115.05103683471616
AKAM,2826172.0890410957,-492.6469083428382
ALB,900812.2089041095,70.58488559722946
ALGN,816146.2740168791,-4.226131558418485
ALK,1813906.8835616438,-71.98655533790581
ALL,2987825.2397260275,132.20232963561995
ALLE,731936.2281822052,27.280136108399375
AMAT,19729744.34931507,-21.491841316223123
AMCR,2656862.2938805423,0.11000299453734641
AMD,32018132.671232875,-56.41619861125946
AME,1146216.120719178,54.50324583053614
AMGN,6539955.428082191,-15.516353607176
AMP,1510405.2189698208,144.90986251831094
AMT,2442981.558219178,51.32469338178524
AMZN,123968023.64726028,-73.37258371710767
ANET,2949035.2622061484,102.5820360183717
ANSS,512948.9212328767,260.3523597717283
AON,1632690.6506849315,302.0304765701294
AOS,1265017.4657534247,9.151663303375383
APA,4561756.401883562,-175.27711439132634
APD,1296478.8107876712,107.28094673156761
APH,3760883.4760273974,45.397377490997215
APTV,2226311.5847071204,-39.622013092041215
ARE,480818.5616438356,140.26422882080075
ARNC,1127180.7228915663,15.270005226135295
ATO,486715.51369863015,39.63078117370513
ATVI,9433895.867465753,-55.65464374423047
AVB,763996.1472602739,78.2279434204099
AVGO,2507081.184364061,123.2304487228395
AVY,732045.5650684931,40.41096687317003
AWK,961890.5409006128,48.17955589294405
AXP,6416656.323972602,-18.19025611877413
AZO,583697.243150685,991.900442123412
BA,6222961.729452055,-130.93202590942312
BAC,81421075.03424658,-34.05375456809978
BAX,5464246.398972603,44.70817852020248
BBY,5618695.706335616,7.456841468810929
BDX,1241886.9717465753,149.86372184753372
BEN,3197273.664383562,19.144135475158308
BF-B,1207353.9273972602,24.64217233657838
BIIB,2715543.493150685,-141.40809631347548
BK,5480890.309589041,-0.9292888641355681
